Episode,,,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
435,13,2,13.22477,1.775229358,12.95302013,2.046979866
436,15,0,13.22883,1.771167048,12.95973154,2.040268456
437,10,5,13.22146,1.778538813,12.95302013,2.046979866
438,15,0,13.22551,1.774487472,12.95302013,2.046979866
439,10,5,13.21818,1.781818182,12.93288591,2.067114094
440,11,4,13.21315,1.786848073,12.93959732,2.060402685
441,11,4,13.20814,1.791855204,12.93959732,2.060402685
442,13,2,13.20767,1.792325056,12.95302013,2.046979866
443,11,4,13.2027,1.797297297,12.93959732,2.060402685
444,15,0,13.20674,1.793258427,12.95973154,2.040268456
445,13,2,13.20628,1.793721973,12.97315436,2.026845638
446,12,3,13.20358,1.796420582,12.96644295,2.033557047
447,11,4,13.19866,1.801339286,12.93959732,2.060402685
448,15,0,13.20267,1.797327394,12.93959732,2.060402685
449,15,0,13.20667,1.793333333,12.93959732,2.060402685
450,13,2,13.20621,1.793791574,12.93959732,2.060402685
451,7,8,13.19248,1.807522124,12.89932886,2.100671141
452,13,2,13.19205,1.80794702,12.89932886,2.100671141
453,11,4,13.18722,1.81277533,12.89261745,2.10738255
454,11,4,13.18242,1.817582418,12.87919463,2.120805369
455,15,0,13.1864,1.813596491,12.88590604,2.11409396
456,12,3,13.18381,1.81619256,12.89261745,2.10738255
457,7,8,13.17031,1.829694323,12.83892617,2.161073826
458,11,4,13.16558,1.834422658,12.82550336,2.174496644
459,13,2,13.16522,1.834782609,12.82550336,2.174496644
460,13,2,13.16486,1.835140998,12.84563758,2.154362416
461,15,0,13.16883,1.831168831,12.87248322,2.127516779
462,15,0,13.17279,1.827213823,12.89932886,2.100671141
463,12,3,13.17026,1.829741379,12.91275168,2.087248322
464,9,6,13.16129,1.838709677,12.89932886,2.100671141
465,15,0,13.16524,1.834763948,12.9261745,2.073825503
466,13,2,13.16488,1.835117773,12.93959732,2.060402685
467,13,2,13.16453,1.835470085,12.95302013,2.046979866
468,14,1,13.16631,1.833688699,12.95973154,2.040268456
469,12,3,13.16383,1.836170213,12.96644295,2.033557047
470,15,0,13.16773,1.832271762,12.97986577,2.020134228
471,9,6,13.1589,1.841101695,12.95973154,2.040268456
472,10,5,13.15222,1.847780127,12.9261745,2.073825503
473,10,5,13.14557,1.85443038,12.91946309,2.080536913
474,11,4,13.14105,1.858947368,12.9261745,2.073825503
475,9,6,13.13235,1.867647059,12.91946309,2.080536913
476,13,2,13.13208,1.867924528,12.90604027,2.093959732
477,12,3,13.12971,1.870292887,12.9261745,2.073825503
478,6,9,13.11482,1.885177453,12.89261745,2.10738255
479,14,1,13.11667,1.883333333,12.89932886,2.100671141
480,12,3,13.11435,1.885654886,12.90604027,2.093959732
481,8,7,13.10373,1.89626556,12.88590604,2.11409396
482,13,2,13.10352,1.896480331,12.89261745,2.10738255
483,13,2,13.10331,1.896694215,12.89261745,2.10738255
484,11,4,13.09897,1.901030928,12.89261745,2.10738255
485,14,1,13.10082,1.899176955,12.91275168,2.087248322
486,12,3,13.09856,1.901437372,12.93288591,2.067114094
487,12,3,13.09631,1.903688525,12.96644295,2.033557047
488,13,2,13.09611,1.903885481,13.00671141,1.993288591
489,11,4,13.09184,1.908163265,13.00671141,1.993288591
490,7,8,13.07943,1.920570265,12.96644295,2.033557047
491,13,2,13.07927,1.920731707,12.99328859,2.006711409
492,9,6,13.07099,1.929006085,12.95302013,2.046979866
493,9,6,13.06275,1.937246964,12.95973154,2.040268456
494,10,5,13.05657,1.943434343,12.93288591,2.067114094
495,7,8,13.04435,1.955645161,12.93288591,2.067114094
496,14,1,13.04628,1.953722334,12.9261745,2.073825503
497,11,4,13.04217,1.957831325,12.9261745,2.073825503
498,7,8,13.03006,1.96993988,12.87919463,2.120805369
499,11,4,13.026,1.974,12.86577181,2.134228188
500,15,0,13.02994,1.97005988,12.86577181,2.134228188
501,14,1,13.03187,1.96812749,12.8590604,2.140939597
502,12,3,13.02982,1.970178926,12.86577181,2.134228188
503,9,6,13.02183,1.978174603,12.83892617,2.161073826
504,13,2,13.02178,1.978217822,12.84563758,2.154362416
505,7,8,13.00988,1.990118577,12.79194631,2.208053691
506,13,2,13.00986,1.990138067,12.77852349,2.22147651
507,12,3,13.00787,1.992125984,12.75838926,2.241610738
508,9,6,13,2,12.73154362,2.268456376
509,12,3,12.99804,2.001960784,12.71812081,2.281879195
510,8,7,12.98826,2.011741683,12.69127517,2.308724832
511,13,2,12.98828,2.01171875,12.67785235,2.322147651
512,10,5,12.98246,2.01754386,12.65771812,2.342281879
513,11,4,12.9786,2.021400778,12.63758389,2.362416107
514,11,4,12.97476,2.025242718,12.61073826,2.389261745
515,7,8,12.96318,2.036821705,12.5704698,2.429530201
516,13,2,12.96325,2.036750484,12.55704698,2.44295302
517,6,9,12.94981,2.05019305,12.4966443,2.503355705
518,14,1,12.95183,2.048169557,12.52348993,2.476510067
519,12,3,12.95,2.05,12.5033557,2.496644295
520,13,2,12.9501,2.049904031,12.53020134,2.469798658
521,8,7,12.94061,2.059386973,12.48322148,2.516778523
522,9,6,12.93308,2.066921606,12.44295302,2.55704698
523,9,6,12.92557,2.074427481,12.40268456,2.597315436
524,8,7,12.91619,2.083809524,12.3557047,2.644295302
525,7,8,12.90494,2.095057034,12.32885906,2.67114094
526,9,6,12.89753,2.102466793,12.30201342,2.697986577
527,9,6,12.89015,2.109848485,12.26845638,2.731543624
528,12,3,12.88847,2.111531191,12.24832215,2.751677852
529,7,8,12.87736,2.122641509,12.19463087,2.805369128
